კოდი,შემოკლებული დასახელება
3915,პლასტმასის ნარჩენები
3916,"მონოძაფი, წნელები, ღერძები და ფასონური პროფილები"
3917,პლასტმასის მილები და შლანგები
3918,პოლიმერული მასალების იატაკის საფარები
3919,პოლიმერული მასალის ბრტყელი ფორმები
3920,პოლიმერული მასალის ფილები
3921,პოლიმერული მასალის ფირები
3922,პლასტმასის აბაზანები
3923,პლასტმასის შესაფუთი მასალა
3924,პლასტმასის საოჯახო ნივთები
3925,პლასტმასის სამშენებლო დეტალები
3926,პლასტმასის ნაწარმი
4001,ნატურალური კაუჩუკი და ბუნებრივი ფისები
4002,სინთეზური კაუჩუკი
4003,რეგენერირებული კაუჩუკი
4004,რეზინის ნარჩენები
4005,რეზინის ნარევი
4006,რეზინის ფორმები
4007,რეზინის ძაფი და კორდი
4008,რეზინის ფირფიტები
4009,რეზინის მილები და შლანგები
4010,რეზინის კონვეიერული ლენტები
4011,ახალი საბურავები
4012,მეორადი საბურავები
4013,რეზინის კამერები
4014,რეზინის ჰიგიენური და ფარმაცევტული ნაწარმი
4015,რეზინის ტანსაცმელი
4016,რეზინის ნაწარმი
4017,მყარი რეზინი
4101,სხვილფეხა რქოსანი პირუტყვის დაუმუშავებელი ტყავები 
4102,ცხვრის დაუმუშავებელი ტყავები
4103,დაუმუშავებელი ტყავები
4104,მსხვილფეხა რქოსანი პირუტყვის გათრიმლული ტყავი
4105,ცხვრის გათრიმლული ტყავი
4106,ცხოველების გათრიმლული ტყავი
4107,გათრიმლული და დამუშავებული მსხვილფეხა რქოსანი პირუტყვის ტყავი
4112,გათრიმლული და დამუშავებული ცხვრის ტყავი
4113,გათრიმლული და დამუშავებული ცხოველების ტყავი
4114,"ზამში, ლაქის ტყავი და ლამინირებული ლაქის ტყავი"
4115,ნატურალური ტყავის კომპოზიციური ტყავი
4201,საუნაგირე ნაწარმი
4202,სამგზავრო ხელჩანთა და ჩემოდნები
4203,ნატურალური ან კომპოზიციური ტყავის ტანსაცმელი
4205,ნატურალური ან კომპოზიციური ტყავის ნაწარმი
4206,"ნაწლავების, ბუშტებისა და მყესების ნაწარმი"
4301,ბეწვეულის ნედლეული
4302,გათრიმლული ან გამოქნილი ბეწვის ტყავები 
4303,ტანსაცმლის საკუთნოები
4304,ხელოვნური ბეწვი
4401,სათბობი ხე-ტყე
4402,ხის ნახშირი
4403,დაუმუშავებელი ხე-ტყის მასალა
4404,ხის ხიმინჯები და სარები
4405,მერქნის მატყლი და ფქვილი
4406,ხის შპალები ლიანდაგებისათვის
4407,დაპობილი ხე-ტყის მასალა
4408,მოსაპირკეთებელი ხის ფურცლები
4409,დაპროფილებული დახერხილი ხე-ტყე
4410,მერქან-ბურბუშელის ფილები
4411,გამერქნებული მასალის ფილები
4412,დაწებებული ფანერა
4413,დაწნეხილი მერქანი
4414,ხის ჩარჩოები
4415,მერქნის ტარა
4416,მერქნის საკასრე ნაწარმი
4417,მერქნის კორპუსები და სახელურები ინსტრუმენტებისათვის
4418,ხის სამშენებლო ნაწარმი
4419,ხის სამზარეულო საკუთნოები
4420,მოზაიკური და ინკუსტირებული ხის ნაწარმი
4421,ხის ნაწარმი
4501,პირველადი დამუშავების ნატურალური კორპი
4502,ნატურალური კორპი
4503,ნატურალური კორპის ნაწარმი
4504,აგლომერირებული კორპი 
4601,დასაწნავი მასალების წნულები
4602,წნულები
4701,მექანიკური მერქნის მასა
4702,"მერქნის ცელულოზა, ხსნადი სორტები"
4703,ნატრონული მერქნის ცელულოზა
4704,სულფიტური მერქნის ცელულოზა
4705,მერქნის მასა
4706,ბოჭკოვანი მასა
4707,რეგენერირებადი ქაღალდი და მუყაო
4801,გაზეთის ქაღალდის რულონები ან ფურცლები
4802,საწერი არაცარცირებული ქაღალდი და მუყაო
4803,სამეურნეო-საყოფაცხოვრებო ქაღალდი
4804,არაცარცირებული კრაფტ-ქაღალდი და მუყაო
4805,არაცარცირებული ქაღალდი და მუყაო
4806,"მცენარეული პერგამენტი, ცხიმგაუმტარი ქაღალდი"
4807,მრავალშრიანი ქაღალდი და მუყაო
4808,გოფრირებული ქაღალდი და მუყაო
4809,პირგადასაღები ქაღალდი 
4810,ორივე მხრიდან ცარცირებული ქაღალდი და მუყაო
4811,ქაღალდი და მუყაო
4812,"ქაღალდის მასისაგან გასაფილტრი ფირები, ფილები და ბლოკები"
4813,პაპიროსის ქაღალდი
4814,კედლის საფარი ქაღალდები
4816,ნახშირბადიანი პირგადასაღები ქაღალდი და ოფსეტური ფირები
4817,კონვერთები და ბარათები
4818,სამეურნეო-საყოფაცხოვრებო ქაღალდი
4819,"ქაღალდის, მუყაოს, ცელულოზის ბოჭკოსგან დამზადებული ტარა"
4820,ჟურნალები და წიგნაკები
4821,ქაღალდის ან მუყაოს ეტიკეტები
4822,ქაღალდის საჭერები
4823,"ქაღალდი, მუყაო, ცელულოზის ბამბა და ტილო"
4901,ნაბეჭდი მასალები
4902,პერიოდული გამოცემები
4903,საბავშო წიგნები
4904,დაბეჭდილი ან ხელნაწერი ნოტები
4905,რუკები
4906,არქიტექტურული და ტოპოგრაფიული ნახაზები
4907,"საფოსტო მარკები, ბანკნოტები, აქციები, ობლიგაციები ან ბონები"
4908,გადასაყვანი სურათები
4909,საფოსტო ღია ბარათები
4910,ნაბეჭდი კალენდრები
4911,ნაბეჭდი პროდუქცია
5001,აბრეშუმის ამოსახვევი პარკი
5002,ხამი აბრეშუმი
5003,აბრეშუმის ნარჩენები
5004,დაუფასოებელი აბრეშუმის ძაფი
5005,ერთწვერა ნართი აბრეშუმის ნარჩენებისაგან
5006,კეტგუტი
5007,ნატურალური აბრეშუმის ქსოვილები
5101,დაუმუშავებელი მატყლი 
5102,დაუმუშავებელი ბეწვი 
5103,ბეწვის ან მატყლის ნარჩენები
5104,ბეწვის და მატყლის ნედლეული
5105,მატყლი და ბეწვი
5106,დაუფასოებელი შალის ნართი
5107,დაუფასოებელი სავარცხლური შალის ნართი
5108,დაუფასოებელი ბეწვის ნართი
5109,მატყლის ან ბეწვის ნართი
5110,ბეწვის ან ძუის ნართი
5111,შალის ქსოვილები
